,A
146,"운동 에너지 (運動- , kinetic energy)는 운동(운동 (물리학))하고 있는 물체 또는 입자가 갖는 에너지이다. 주어진 물체의 어떤 속도에서의 운동에너지는 그 물체를 정지 상태에서 그 속도까지 가속(가속도)시키는데 필요한 일(일 (물리학))의 양으로 정의된다. 가속이 되어 운동 에너지를 얻게 되면 속도의 크기가 변하지 않는 한 그 운동에너지를 유지한다. 또한, 그 운동 상태에서 정지 상태까지 감속시키는데 필요한 에너지 또한 원래 그 물체의 운동 에너지와 같다. 고전 역학(고전역학)에서 질량이 m인 비회전체의 속도의 크기가 v일 때 물체의 운동 에너지는 이다."
147,"그러나 IUCN은 등급(멸종위기등급)을 격하할 만큼 충분하지는 않다고 하였으나 2016년 9월 4일 IUCN은 2014년 성체 기준 1864마리로 증가함에 따라 멸종위기종에서 멸종취약종으로 멸종위기등급을 한 단계 격하했다. 세계 야생 동물 기금 협회의 심볼이다. 보통, 중국을 상징하는 동물은 용이지만, 국제적으로는 판다가 대신한다. 그 예로 베이징 올림픽의 마스코트, 푸와가 있다. 20세기 후반 즈음에는 중국(중화인민공화국) 동전의 도안으로 쓰이기도 했다. 대한민국에서는 용인에버랜드에서 대왕판다를 사육 중이며, 국내에 사육중인 판다류는 레서판다로 서울대공원에서 사육중에 있다. 조선민주주의인민공화국에서는 평양동물원에서 여러 마리가 사육된 적이 있다."
148,"이 전투는 일본 제국의 또 다른 괴뢰 정권인 몽강국, 일본의 점령지였던 한반도, 사할린, 쿠릴 열도에 대한 공격도 포함된다. 이 전투는 1939년 할힌골 전투 이후 맺은 소비에트 연방-일본 불가침 조약을 파기하고 이루어졌다. 얄타 회담에서 소비에트 연방은 유럽 전쟁이 끝난 3개월 후, 태평양 전쟁에 참전하기로 이미 다른 연합국과 약속한 바 있었다. 공격은 정확히 나치 독일이 항복한 5월 8일(모스크바 표준시로 5월 9일 0시 43분)에서 3개월이 지난 8월 9일에 이루어졌다. 8월 6일 히로시마에 원자 폭탄이 떨어졌고, 8월 9일에는 나가사키에 원자 폭탄이 투하되었으며, 소비에트 연방의 공격은 이 두 원자 폭탄 투하 못지않게 일본에게 충격을 주었다."
149,"반민족행위자에 대한 조사를 담당하였고 조사 내용을 특별검찰부로 보내는 역할을 담당하였다. 반민특위는 1948년 10월 23일 각 시·도 출신국회의원들이 추천한 임기 2년의 위원 10명을 선출하고(이 법 제9조, 제10조 참조), 위원장에 경상북도 대표인 김상덕(김상덕 (1892년))을, 부위원장에 서울 대표 김상돈을 뽑았다. 반민족행위자에 대한 조사를 담당하였고 조사 내용을 특별검찰부로 보내는 역할을 담당하였다. 1948년 10월 예비 조사를 시작으로 1949년 1월 5일부터 본격적인 활동을 시작하였고 반민법 2차 개정으로 그해 8월 사실상 업무를 종료하였다. 특별조사위원회에서 넘어온 수사자료를 기초로 기소 여부를 결정하고 특별재판소에 송치하는 업무를 담당하였다. 1949년 1월부터 활동을 시작 하였으나 반민법이 2차개정되어 공소시효가 1년 가까이 단축됨에 따라 1949년 8월로 사실상 업무를 종료하였다. 특별재판부는 특별검찰부에서 송치한 사건에 대한 재판을 담당하였다."
150,"하지만 아이폰은 개발자들에게 돌아가는 수익이 무려 70%에 달해 20만 개가 넘는 방대한 콘텐츠 확보로 인한 판매량 증가는 물론 대한민국에도 제작자들이 대거 참여하는 폭발적인 반응을 일으켰다. 아이폰의 이런 다양한 애플리케이션은 아이폰의 가장 주요한 인기 원인으로 꼽히고 있다. 이에 대해 대한민국 휴대 전화 통신사들이 의도적으로 기능들을 삭제해선 안되며, 다양한 콘텐츠를 확보하는데 주력해야 한다는 지적이 제기되었다. 이러한 문제들 때문에 아이폰이 발매되기 전 세계 휴대 전화 시장에서 점유율 2위를 하고 있는 삼성도 스마트폰 시장 점유율은 2.8%에 불과했으며, 2009년까지 LG는 관련 시장에 진입 조차 못하기도 했다. 가장 큰 변화로 와이파이를 비롯한 무선 인터넷의 변화가 꼽힌다. 유선 인터넷의 속도나 보급률 등 인터넷 환경에서 세계 최상위권을 차지하는 대한민국은 그러나 이동통신사들이 휴대 전화에 와이파이 기능 탑재를 거부하며 유료인 3G 인터넷 접속을 유도하였으며, 이러한 무선 인터넷의 요금은 가격도 비정상적으로 비싸 '버튼 하나만 잘못 누르면 요금 폭탄을 맞는다'는 이야기가 나오기도 했다. 그 때문에 사용자들은 무선 인터넷을 거의 사용하지 않았고, 무선 인터넷 환경수준에서 대한민국은 하위권을 기록해 굴욕을 맛보아야 했다."
151,"쿠르디스탄 애국 동맹(쿠르드어: Yekîtiya Nîştimaniya Kurdistan, 아랍어: الاتحاد الوطني الكردستاني, 약자: PUK)은 이라크북부에서 활동하는 쿠르드족 정당으로 쿠르디스탄 민주당(KDP)과 대등한 정당이었다. 쿠르디스탄 애국당으로도 불린다. 당원은 1만명으로 추정된다. 쿠르드 자치구의 서쪽은 쿠르디스탄 민주당(KDP)이, 동쪽은 쿠르디스탄 애국 동맹이 쿠르드족의 지지를 받는다. 이 당은 쿠르디스탄 민주당(KDP)의 간부였던 잘랄 탈라바니가 1975년에 이 당을 창설했다. 이 당은 사회민주주의를 내걸어 왔는데 쿠르디스탄 민주당과는 자주 대립했다. 쿠르디스탄 애국 동맹은 이란의 영향력에 놓여 있고, 이란은 이 당을 지원한다."
152,"1988년에 모로코와 폴리사리오가 유엔 평화안을 수용하고 1991년에 유엔 사하라 주민투표 감시단이 파견되었다. 이후 정전 상태가 이어지고 있으나 주민투표가 연기되는 등 현재까지도 분쟁의 궁극적인 해결은 어려운 상태이다. 그 후로 폴리사리오 전선과 모로코 간의 게릴라전 상태가 지속되어오다가 1991년 이후 국제연합에 의해 정전에 들어간 상태이다. 이에 따라 서사하라 지역에서는 유엔 평화유지군(PKF)에 의한 평화 유지 활동(PKO)이 이루어지고 있다. 1999년부터는 모로코에 무함마드 6세가 집권하면서 이전의 하산 2세 시절과는 달리 서사하라의 엘리트들을 대하는 태도가 소홀해졌고, 이에 따라 독립을 요구하는 목소리가 높아지고 있다. 특히 수도 엘아이운에서는 2005년부터 시위가 늘어가는 추세이다. 하지만 젊은이들의 경우 서사하라 주민 1세대나 모로코인들과는 정치적으로 다른입장을 보이고 있다."
153,"그 후 징계에서 풀려난 수아레스는 시즌 41경기 24골 20도움을 기록하며 바르셀로나(FC 바르셀로나)에서 트레블을 달성하며 최고의 시즌을 마무리했다. 바르셀로나 소속인 2015-2016시즌 스페인 BBVA 리가에서 한 시즌 40득점을 기록하며 득점부문 1위를 차지하였다. 8년간 메시와 호날두에게만 허락되었던 득점왕 경쟁이 8년만에 수아레즈에게 허락되며 메시와 호날두의 양강체제를 깨뜨렸다. 수아레스는2007년 2월 8일 콜롬비아 축구 국가대표팀과의 경기에서 데뷔전을 치렀는데, 그 경기에서 그는 85분째에 두 번째 옐로카드를 받아 경고 누적으로 퇴장당하였다. 2010년 FIFA 월드컵 남미 예선에서는 첫 네 경기에 모두 선발로 출전, 2골을 기록하였다. 그는 2010년 FIFA 월드컵 본선에서도 23명의 멤버로 선발되어, 조 예선 3경기에 모두 선발로 출전해 멕시코(멕시코 축구 국가대표팀)와의 조예선 마지막 경기에서 1골을 기록하였다. 이어 대한민국(대한민국 축구 국가대표팀)과의 16강전에서 2골을 추가하였다."
154,"처음에는 서울 종로구 묘동(廟洞)에 세워져 한자만 '妙(묘)'로 바꾸어 묘동교회라는 이름을 붙였다. 연동교회에서 천민 출신 신자의 장로 임명 문제로 불만을 품은 양반 신도들이 빠져나와 설립했다. 창립 주도 세력의 특성상 보수적인 신앙관을 갖고 있었다. 1912년 연동교회 장로 출신으로 묘동교회를 세운 주축인 이원긍이 일본조합교회와 손을 잡고 선교사 배척 운동을 벌였다. 이로 인해 1910년대에만 두 차례 장로교에서 이탈하여 각각 제7일안식일예수재림교회, 경성일본기독교회 소속이 되었다. 1924년 부인회를 중심으로 장로교로 복귀하였으나, 1935년에 10년이 넘게 지속된 경기노회 갈등 끝에 경중노회가 신설되어 조선예수교장로회가 분열되었을 때 경성노회를 탈퇴하고 경중노회에 가담하는 등 복잡한 역사를 이어갔다. 1959년에 대한예수교장로회에 완전 복귀했으며, 곧이어 이 단체가 분열하자 예장통합 측을 택했다."
155,"그 중 가장 큰 것은 잦은 부담을 면제받을 수 있다는 것이었는데, 대학은 독립된 사회로 인정하고 병역, 복역, 세금 등에서 해방될 수 있었다. 또한 대학 관계자의 범죄 행위에 대해서는 학내에서 별도의 재판권을 인정받는 등 대학 내의 치외법권이 인정되었다. 이 외에 사회적으로 인정받는 학위를 수여할 수 있는 권한이 있었으며 자유여행권, 총학장 자치선출권 등이 인정되었다. 만약 외부에서 대학 사회의 특권을 인정하지 않는 경우 지역사회 물품의 불매운동이나 대학을 해당 지역에서 이전하려고 하는 움직임을 보여주면서 그 권리를 지켜나갈 수 있었다. 중세의 대학은 대략 다음과 같이 정리할 수 있다. 최초의 대학들이 유럽에 설립된 뒤로 많은 대학들이 설립되어 많은 영역에서 다양한 연구와 학문의 발전이 뒤따르게 되었다. 다음은 근대에서 현대로 이어지는 독일과 영국, 미국의 대학에 관한 설명이다."
156,"그가 고통스런 현실에서 갈망했던 평온의 상태는 세계 창조 전의 원초적인‘비어 있음’이다. 이것은 절대적인 무, 영원한 소멸이며 곧 죽음과 연관된다. 죽음은 그의 시에서 사랑을 방해하는 요소이자 그가 그리워하던 자연과의 화합을 의미하기도 한다. 시 ＜샛별＞은 에미네스쿠가 이루지 못한 사랑의 비극으로 절망에 빠져 있다가 스스로 찾은 구원을 표현하고 있다. 98연으로 된 이 시는 지은이의 말년작이자 전 세계적으로 알려진 루마니아 대표시이기도 하다. 그리스 신화를 접목시킨 루마니아 동화를 모티브로 하고 있다. 샛별이면서 히페리온인 주인공은 하늘과 땅이라는 서로 다른 양극이 합쳐지면서 세상에 나옴으로써 우주의 밝은 하늘과 어두운 지상 사이에서 항상 갈등하는 영웅으로 그려진다."
157,"대외 관계로는, 5세기에는 야마토의 오왕(왜5왕)(倭の五王)이 중국에 사자를 보냈다. 백제의 근초고왕(재위 346년 ~ 375년)은 왜와 국교를 수립하고 많은 선진 문화를 전했다. 백제가 언제부터 왜와 통교하고 있었는지는 정확하지 않으나 근초고왕대에 이르러 양국은 활기차게 적극적인 교류를 하였다. 백제와 왜의 국교 수립은 서기 366년(진구 황후 46년, 근초고왕 21년) 에 이뤄졌다. 이처럼 왜는 정치적으로 백제와 밀접한 관계를 맺고, 백제로부터 우수한 선진문물을 수입하고, 또 한반도로부터 많은 기술자와 농민이 도래하여 각종 기술을 전하는 등, 백제의 일본 문화 전파는 다방면에서 이루어졌다. 근초고왕 때, 유교경전에 밝은 아직기(阿直岐)가 일본의 태자에게 한자를 가르쳤고, 이후 박사 왕인(王仁)은 《논어》와 《천자문》을 전하고 경사를 가르쳤다. 국가 체제를 정비하는 데 있어 유교적 이념은 다른 토착신앙이나 불교보다도 많은 것을 제공했기 때문에, 각 국가들은 고대 사회의 형성기에 유교 사상의 수입에 적극적이었다."
158,"벨기에 프랑(네덜란드어: frank, 프랑스어: franc, 독일어: Franken)은 1832년부터 2002년까지 통용된 벨기에의 통화로, 1 프랑은 100 상팀(네덜란드어: centiem, 프랑스어: centime, 독일어: centime)에 해당된다. 벨기에는 1832년에 프랑스 프랑과 동등한 가치의 프랑을 도입했으며, 룩셈부르크는 1848년에, 스위스는 1850년에 도입했다. 한편 이탈리아는 1862년에 프랑과 비슷한 리라를 도입했다. 벨기에는 1921년에 룩셈부르크와 통화 동맹을 맺었으며, 룩셈부르크 프랑과 1:1 비율의 고정 환율을 시행했다. 1935년에는 고정 환율 비율이 한때 1 벨기에 프랑 = 0.8 룩셈부르크 프랑으로 하락했지만 1944년에 1 벨기에 프랑 = 1 룩셈부르크 프랑으로 다시 상승했다. 벨기에 프랑은 2002년 2월 28일까지 유로와 함께 통용되었으며, 50 상팀, 1, 5, 20, 50 프랑짜리 동전과 100, 200, 500, 1000, 2000, 10000 프랑짜리 지폐가 통용되었다. 유로와의 교환 비율은 1 유로 = 40.3399 프랑이다."
