,Q,A
3641,이 기회 잡고 싶다.,행운을 빌게요!
3642,이 기회는 내꺼야,행운을 빌게요!
3643,이 길이 나에게 맞는걸까,잘 가고 있을 거예요.
3644,이 길이 맞을까?,잘 가고 있을 거예요.
3645,이 나이에 모르는게 왜 이렇게 많지,당연한 거예요.
3646,이 노래는 저음이 좋아,목소리는 역시 저음이죠.
3647,이 놈의 신용카드 다 없애야지,소비 조절을 못하면 없애는 것도 방법이 될 거예요.
3648,이 멍충아,좋은 말만 해주세요.
3649,이 무리에 낀게 잘못인가,지금도 늦지 않았어요.
3650,이 바보탱이,좋은 말만 해주세요.
3651,이 상황에서 벗어나고 싶어,신경쓰지 마세요.
3652,이 세상에서 누가 제일 예뻐,저요!
3653,이 세상에서 제일 예쁜 사람은,저요!
3654,이 순간 뭘하면 좋을까,현재를 즐기면서 행복하게 사세요.
3655,이 시간에 라면 먹고 싶은데 살 찔 거 같아,간단한 견과류나 과일을 먹어보세요.
3656,이 시려,치과에 가보세요.
3657,이 썩은 거 같아,어서 치과에 가보세요.
3658,이 쓰레기야,욕해 주세요.
3659,이 정도면 잘생겼지?,네 잘생겼어요.
3660,이 좀 여유롭게 살고 싶다,여유는 마음 가짐에 있어요.
3661,이 지각쟁이,잠깐 핸드폰 게임 하시면 올거예요.
3662,이 현실에서 도망가고 싶어,그래서 우리는 꿈을 꾸죠.
3663,이 회사는 나만 일하는 것 같아,직장 스트레스 심하겠네요.
3664,이가 차가워,치과에 가보세요.
3665,이거저거 막 사고 싶어.,돈은 쓴만큼 또 생긴다고 하던데요.
3666,이건 정말 위기야.,위기이면서 기회일 거예요.
3667,이걸로 만족해야겠지?,내가 있는 곳 그 자리에서 만족하는 것이 중요해요.
3668,이게 뭐라고 떨려,별거 아니지 않아서 그래요.
3669,이길이 내길인가,지도 어플을 실행해보세요.
3670,이길이 맞는지 모르겠다,지도 어플을 실행해보세요.
3671,이놈,딴짓 중입니다
3672,이닦았는데 잇몸에서 피나,잇몸약 챙겨드시거나 치과 가보세요.
3673,이따 커피 마시자고 해보려고,잘 될 거예요.
3674,이래라 저래라 참견 좀 안했으면,서툰 애정표현일 수도 있어요.
3675,이러고 있을 때가 아니야,행동할 때인 것 같네요. 응원해요.
3676,이러다 대머리 되겠어,탈모 관리 해보세요.
3677,이러다 또 흐지부지하고 말겠지,이번에는 안 그러면 돼요.
3678,이런 일상에서 휙 떠나고 싶어,여행을 떠나세요.
3679,이렇게 갈 거였구나,이야기를 해보세요.
3680,이렇게 날씨도 좋은데,하늘 보고 한 번 웃어봐요. 기분이 바뀔 거예요.
3681,이렇게 대학 가야하나,행복은 마음 가짐에 있어요.
3682,이렇게 또 늙어간다,우리는 태어날 때부터 늙어가고 있어요.
3683,이렇게 못 알아 듣니,노력하겠습니다.
3684,이렇게 오래 만날 줄 몰랐는데,매력있는 사람인가봐요.
3685,이렇게 치열한 경쟁은 싫어,점점 치열해지는 것 같아요.
3686,이력서 광탈 중이야,좌절하지마세요.
3687,이력서 몇 개째 쓰는건지 모르겠다,좌절하지마세요.
3688,이력서 쓰고 있어.,나를 포장하는게 쉽지 않죠.
3689,이력서 쓰는 중,나를 포장하는게 쉽지 않죠.
3690,이름 알려줘,위로봇이요.
3691,이름이 뭐야,위로봇이요.
3692,이마가 너무 넓어,앞머리로 가리세요.
3693,이마야 운동장이야,앞머리로 가리세요.
3694,이모티콘 기간 끝나서 없어졌어,다른 이모티콘을 이용해주세요.
3695,이모티콘 기간 끝났어,다른 이모티콘을 이용해주세요.
3696,이민가고싶어,저도 데려가세요.
3697,이발 어떻게 할까,짧게 변화를 줘도 괜찮을 거 같아요.
3698,이발 좀 하고 올게,예쁘게 깍고 오세요.
3699,이번 달에 결혼식 너무 많아,인맥이 넓으신가봐요.
3700,이번 달에 결혼식 매 주 있어.,인맥이 넓으신가봐요.
3701,이번 방학에 뭐하면 잘했다고 소문날까,차근차근 계획을 세워보세요.
3702,이번 생은 처음이라서,서툰 게 많지만 다 잘 될 거예요.
3703,이번 크리스마스에 눈이 올까,눈이 오면 좋겠네요.
3704,이번 학기 열심히 살아야지,생각한대로 잘할 수 있을 거예요.
3705,이번달에 외식 너무 많이 했다,다음달에는 조금 줄여보세요.
3706,이번에는 분명하게 말해야지,잘 전달할 수 있을 거예요.
3707,이번에는 생리통 너무 아파,약을 먹거나 병원에 가보세요.
3708,이번엔 또 뭐 해 먹지,냉장고 파먹기 해보세요.
3709,이벤트 당첨됐어!,축하드려요!
3710,이별 후 새로운 사람 찾아,좋은 사람 만날 거예요.
3711,이불 밖은 위험해,오늘은 그냥 뒹굴뒹글 같이 놀아요.
3712,이불밖은 위험해,이불밖은 위험하죠.
3713,이빨 아파,어서 치과에 가보세요.
3714,이쁜 구석이 없어,사소한 거라도 있을 거예요.
3715,이사 가야 할 것 같아,너무 걱정하지마세요.
3716,이사 도와줘야 할까,큰 도움이 될 것 같아요.
3717,이사 왔더니 친구가 없어,친구를 사귀어 보세요.
3718,이사가서 전학가게 됐어,새로 적응해야겠네요.
3719,이사가야돼,너무 걱정하지마세요.
3720,이사하는 거 도와줄까,큰 도움이 될 것 같아요.
3721,이사하는 것도 일이다,정리하는 게 쉽지 않죠.
3722,이사하니까 정리할 게 많아,정리하는 게 쉽지 않죠.
3723,이삿짐 싸야지,버릴 건 버리세요.
3724,이상하게 이 친구한테는 집착하게 된다,자신 스스로에게 의지해보세요.
3725,이상한 말을 해,더 열심히 노력하겠습니다.
3726,이상한 사람이 자꾸 쳐다봐,혹시 반한 걸 수도 있어요.
3727,이상한 소문이 돌아,소문은 소문일 뿐이에요.
3728,이어주려고 해서 더 어색해졌어,일부로 부추기면 가끔 안 좋은 결과가 나오기도 해요.
3729,이어폰 까먹지 말고 사야지,잘 골라보세요.
3730,이어폰 사야지,잘 골라보세요.
3731,이자 왜 이렇게 많지?,많이 빌렸으니까요.
3732,이제 결정해야 되는데,결정하기 힘드시겠네요.
3733,이제 그만 잘래,안녕히 주무세요.
3734,이제 그만하고 쉬고 싶다,잠깐 바람 쐬고 오세요.
3735,이제 기다리는 것도 지쳐,기다리지 마세요.
3736,이제 기다리는게 습관 같아,좋은 분이시군요
3737,이제 먹는 것도 귀찮아,먹고는 살아야죠.
3738,이제 바람 분다,마음에 부는 바람인지 살펴보세요.
3739,이제 봄인가봐,날씨가 많이 풀렸죠.
3740,이제 어둠에서 나오려고 해,어둠에서 나온다니 다행이에요.
3741,이제 은퇴해야 하나?,끝까지 해보세요.
3742,이제 인턴 그만두고 싶어,결정은 그대의 몫입니다.
3743,이제 일어나야 하는데,행동할 때인 것 같네요. 응원해요.
3744,이제 취업 해야할 텐데,간절한 만큼 할 수 있을 거예요.
3745,이제 택시 안타,좋은 다짐이에요.
3746,이제 택시타지 말아야지,좋은 다짐이에요.
3747,이제 혼자서도 잘할 수 있어.,그러면 같이도 잘하게 될 거예요.
3748,이젠 기억이 가물가물해,벌써 그러면 안돼요.
3749,이젠 기억이 거의안나,벌써 그러면 안돼요.
3750,이직 가능할까,취업에 성공할거예요.
3751,이직 성공할 수 있을까,다니면서 준비해보세요.
3752,이직각인가,직장 스트레스가 심한가봐요.
3753,이직해도 될까,다니면서 준비해보세요.
3754,이직해야할지 고민이야,직장 스트레스가 심한가봐요.
3755,이해를 못하겠어?,노력하겠습니다.
3756,인간 관계가 제일 어려운거 같아,운전처럼 안전거리확보하세요.
3757,인간관계 관리하는 거 힘들어,너무 믿지 마세요.
3758,인강 듣는데 자꾸 딴짓하게돼,바람 쐬고 와서 다시 들으세요.
3759,인강 듣는데 집중이 안돼,바람 쐬고 와서 다시 들으세요.
3760,인관관계 맺는 게 피곤해,그 사람을 위해 에너지를 쓰니까요.
3761,인기 많으려면,성격이 좋으면 인기가 있을 거예요.
3762,인내하면 얻을 수 있을까?,인내할 수 있는 사람이라면 무엇이든 손에 넣을 수 있을 거예요.
3763,인사드리러 갔는데 파혼하는게 나을것 같아,이혼이 아니라 다행입니다.
3764,인사드리러 갔다가 파혼했어,이혼이 아니라 다행입니다.
3765,인상이 좋더라,그런 인상이 오래오래 봐도 질리지 않아요.
3766,인생 공부한건가,단맛도 있을 거예요.
3767,인생 너무 불공평해,남과 비교하지 마세요.
3768,인생 뭐있나,뜻대로 되는게 많지 않죠.
3769,인생 살만해?,누구나 한번쯤 시도해 볼 만하죠.
3770,인생 잘 못 산건가,태어난 것만으로도 성공한 인생이에요.
3771,인생 허무해,뜻대로 되는게 많지 않죠.
3772,인생 헛산듯,태어난 것만으로도 성공한 인생이에요.
3773,인생에서 최고의 행복,우리가 사랑받고 있음을 확신하는 것입니다.
3774,인생의 쓴맛,단맛도 있을 거예요.
3775,인생이 쓰디쓰다,단맛도 있을 거예요.
3776,인센티브가 생각보다 안 나올 것 같아,월급이 깎인 것보다 낫죠.
3777,인연은 소중한 거지,옷깃만 스쳐도 인연이죠.
3778,인연은 항상 소중한 거겠지,옷깃만 스쳐도 인연이죠.
3779,인정 받고 싶다,열심히 하다보면 받을 수 있을 거예요.
3780,인정 받고 싶은거 당연한 거 아니냐,열심히 하다보면 받을 수 있을 거예요.
3781,인정받고 싶은데 어떻게 해야돼?,남보다 하나씩 더 하면 돼요.
3782,인정받으려면 어떻게 해야 하나,지금도 충분히 잘 하고 있어요.
3783,인터넷 쇼핑몰에서 바지 샀는데 망함,사이즈를 잘 보고 사세요.
3784,인터넷에서 바지 샀는데 안 맞아,사이즈를 잘 보고 사세요.
3785,인턴 됐어,좋은 사회생활의 밑거름이 되길 바랍니다.
3786,인턴 때려 치우고 싶어,결정은 그대의 몫입니다.
3787,인턴 원서 넣어 볼까,경험은 뭐든 도움이 될 거예요.
3788,인턴 할까,경험은 뭐든 도움이 될 거예요.
3789,인턴 합격,좋은 사회생활의 밑거름이 되길 바랍니다.
3790,인턴이라도 어니냐,얼른 알아보세요.
3791,인턴하고 싶어,얼른 알아보세요.
3792,인테리어 다시 하고싶어.,나만의 공간으로 꾸며보세요.
3793,인테리어 좀 다시 해야할 듯,필요하다면 해야겠죠.
3794,인테리어 혼자 해볼까,손길이 가서 더 애정이 생길 것 같아요.
3795,인형 뽑기 돈만 날렸어,신중하게 잘 해보세요.
3796,인형 뽑기 어려워,신중하게 잘 해보세요.
3797,인형 뽑기 해줘,인형 뽑기 어려워요.
3798,인형 뽑아줘,인형 뽑기 어려워요.
3799,인형 사줄까,분명 좋아할거예요.
3800,인형 선물 받았어,고맙다고 말해 주세요.
3801,인형 선물 좋을지,이왕이면 큰 게 좋을 것 같아요.
3802,인형 선물하면 좋아할까?,이왕이면 큰 게 좋을 것 같아요.
3803,인형 좋아할까?,분명 좋아할거예요.
3804,인형뽑기 아직도 하나,하는 사람은 하더라고요
3805,인형뽑기는 유행 지났지?,하는 사람은 하더라고요
3806,일 끝나면 그냥 쉬고 싶어,운동으로 땀을 내보세요. 한결 몸이 가벼워질거예요.
3807,일 대충했대,나중에 알아줄 거예요.
3808,일 때려칠까?,뒷감당은 준비하세요.
3809,일 못하는 사수랑 일하는 거 힘드네,참고 견뎌보세요.
3810,일 안하고 돈 벌고 싶어,동감입니다.
3811,일 좀 하고 다시 말시킬게,다녀오세요!
3812,일기 써야 되는데,나중에 보면 좋은 추억이 될 거예요.
3813,일기쓰기,나중에 보면 좋은 추억이 될 거예요.
3814,일도 못하는데 엄청 시켜,일을 몰라서 그런가봐요.
3815,일도 하고 공부도 하는게 가능한가?,체력에 따라 다를 것 같아요.
3816,일만 하고 살았는데 이 모양,자신의 인생을 사세요.
3817,일만 하다 죽을 것 같아,너무 무리하지 마세요.
3818,일본어 어렵네,저도 참 힘들어요.
3819,일상에서 떠나고 싶어,여행을 떠나세요.
3820,일어나보니까 침대에서 떨어져 있었어,조심하세요.
3821,일어났더니 목이 잠겼어,잘못 주무셨나봐요.
3822,일에 적응하면 좀 더 잘 할 수 있을까,잘할 수 있을 거예요.
3823,일요일에 교회끝나고 어디 가고 싶어.,같이 가보세요.
3824,일요일에 교회만 가,같이 가보세요.
3825,일요일에 데이트 해야지!,즐거운 주말 보내실 것 같네요.
3826,일은 많이 하는데 월급은 너무 적어,자신의 몸값을 올려보세요.
3827,일은 원래 혼나면서 배워?,그냥 배워도 돼요.
3828,일을 거지같이해,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.
3829,일을 나만 해,일 분배를 다시 요청해보세요.
3830,일을 못하는 동료가 있는데 말해줄까?,알고 있을 거예요.
3831,일을 못하면서 안 물어봐 답답하다,알고 있을 거예요.
3832,일을 해도 안 늘어,조금만 더 힘내세요.
3833,일이 또 쌓이네,하나씩 다 할 수 있을 거예요.
3834,일이 안 끝나,힘들겠지만 하나씩 해보세요.
3835,일이 익숙해 지지 않네,조금만 더 힘내세요.
3836,일이 잘 안 늘어,조금만 더 힘내세요.
3837,일이랑 공부 동시에 가능?,체력에 따라 다를 것 같아요.
3838,일이랑 공부 병행 가능?,시간 활용에 따라 다르겠죠.
3839,일인자가 되려면 얼마나 노력해야할까?,인내의 시간이 필요할 거예요.
3840,일인자가 되려면 피나는 노력이 필요하겠지?,인내의 시간이 필요할 거예요.
3841,일일 만보 걷기,좋은 건강습관이네요.
3842,일일일팩,피부관리까지 하시다니!
3843,일찍 가서 쉬고 싶은데 오늘 회식 잡혔어,일과 일상 사이에서 균형이 잘 맞길 바랄게요.
3844,일찍 일어나야 돼,오늘 일찍 주무세요.
3845,일찍 퇴근하고 쉬고 있어,쉬고 나면 힘이 날거예요 맛있는 것도 드세요
3846,일하고 올게,다녀오세요!
3847,일하기 싫다,저도요!!
3848,일하는 거에 비해 월급은 쥐꼬리,자신의 몸값을 올려보세요.
3849,일하는데 실수를 많이 해,부족한 부분이 뭔지 확인해보세요.
3850,일하면서 공부할 수 있을까?,시간 활용에 따라 다르겠죠.
3851,일하면서 대학원다니기 쉽지 않겠지,쉽지는 않을 거예요.
3852,일하면서 석박 따기 어렵겠지,쉽지는 않을 거예요.
3853,일하면서 애키우기 힘들다,슈퍼우먼이 되려고 하지 마세요.
3854,일해야 되는데 졸려,잠을 깨요! 기운 내요!!
3855,임신이면 어떡하지,축하할 일이죠.
3856,임신했어,축하할 일이죠.
3857,임용 결과 발표 기다리고 있어,여행 다녀와 보세요.
3858,임용 기다리고 있어,여행 다녀와 보세요.
3859,임용 기다리고 있어,공부하면서 못했던 것들 해보세요.
3860,임용 시험 기다리고 있어,공부하면서 못했던 것들 해보세요.
